DVEntry | 336 Gems (on the ground) | True_()
FVIcyCamp | 175 Gems (baskets via wall kick) | And(Has('Wall Kick'), HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath'))
FVIcyCamp | 20 Gems ([enemy] unarmored middle gnorc via wall kick) | And(Has('Wall Kick'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
FVIcyCamp | 20 Gems ([enemy] armored huge gnorc via wall kick) | And(HasAll('Charge', 'Wall Kick'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
FVIcyCampUpper | 141 Gems (dark shards on ice/headbash rock and on the ground behind chargeable wall) | Has('Charge')
FVIcyCampUpper | 571 Gems (baskets/metal chests/headbash chests + rock/on the ground/in air) | True_()
FVIcyCampUpper | 50 Gems ([enemy] eskimole on platforms) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
FVReturnFromIC | 4500 Gems (armored chests via supercharge) | True_()
FVEntry2 | 15 Gems (on the ground) | True_()
FVEntry2 | 100 Gems ([enemy] eskimoles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
FVEntry2 | 100 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
FVEntry2 | 50 Gems (headbash rocks) | Has('Double Jump')
FVEntry2 | 150 Gems (dark shards) | HasAny('Double Jump', 'Charge')
FVEntry2 | 25 Gems ([enemy] eskimole via wall kick) | And(Has('Wall Kick'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
FVEntry2 | 50 Gems (dark shard via wall kick) | And(Has('Wall Kick'), HasAny('Double Jump', 'Charge'))
FVEntry2 | 25 Gems (metal chest via wall kick) | And(Has('Wall Kick'), HasAny('Double Jump', 'Charge', 'Electric Breath'))
FVEast | 1166 Gems (armored chests/on the ground/baskets/metal chests/headbash chest and rocks) | True_()
FVEast | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
FVEast | 50 Gems ([enemy] eskimoles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
FVEast | 20 Gems ([enemy] unarmored huge gnorc via poles) | And(Has('Pole Spin'), Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge')))
FVEast | 20 Gems ([enemy] armored huge gnorc via poles) | And(HasAll('Charge', 'Pole Spin'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
FVLGDoorEntry | 20 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
FVLGDoorEntry | 20 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
FVLGDoorEntry | 50 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
FVLGDoorEntry | 60 Gems (headbash chest) | Has('Double Jump')
FVLGDoorDJ | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
FVLGDoorDJ | 50 Gems (metal chests) | True_()
FVLGDoorDJ | 20 Gems ([enemy] armored middle gnorc via poles) | HasAll('Pole Spin', 'Charge')
FVLGDoorDJ | 50 Gems ([enemy] eskimoles via poles) | And(Has('Pole Spin'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
FVLGDoorDJ | 130 Gems (baskets and headbash chest via poles) | Has('Pole Spin')
FVLGDoorGlide | 75 Gems ([enemy] eskimoles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
FVLGDoorGlide | 75 Gems (baskets) | True_()
FVLGDoorGlide | 60 Gems (headbash chest) | Has('Double Jump')
FVLGDoorGlide | 160 Gems (baskets/headbash and metal chests behind water gate) | Has('Water Breath')
FVLGDoorGlide | 225 Gems (underwater icy vases) | And(InvincibilityGadget(), HasAll('Swim', 'Charge'))
GGFullLevel | 110 Gems (on the ground) | True_()
GGFullLevel | 656 Gems ([enemy] yeti/skeletons/eskimoles) | True_()
GGFullLevel | 1060 Gems (standard breakables) | True_()
GGFullLevel | 400 Gems (frozen gem blocks via exploding arrows) | True_()
GGFullLevel | 1000 Gems (armored chests via exploding arrows) | True_()
GGFullLevel | 200 Gems ([enemy] steel traps via exploding arrows) | True_()
GGFullLevel | 950 Gems (Sparx minigames 3-1) | True_()
GGFullLevel | 900 Gems (Sparx minigames 3-2) | True_()
ICCourtyardLower | 293 Gems (on the ground) | True_()
ICCourtyardLower | 200 Gems ([enemy] steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
ICCourtyardLower | 200 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
ICCourtyardLower | 130 Gems (headbash chest + rocks) | Has('Double Jump')
ICCourtyardLower | 140 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
ICCourtyardLower | 50 Gems (metal chest) | HasAny('Double Jump', 'Charge', 'Electric Breath')
ICCourtyardLower | 80 Gems ([enemy] armored middle gnorc) | Has('Charge')
ICCourtyardLower | 100 Gems (dark shards) | HasAny('Double Jump', 'Charge')
ICCourtyardLower | 75 Gems (metal chests you can't DJ) | HasAny('Charge', 'Electric Breath')
ICCourtyardLower | 125 Gems (baskets you can't DJ) | HasAny('Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
ICCourtyardLower | 25 Gems (firework basket) | Has('Fire Breath')
ICCourtyardLower | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
ICCourtyardUpper | 40 Gems ([enemy] archer gnorc/unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
ICCourtyardUpper | 175 Gems (baskets/dark shards) | True_()
ICCourtyardUpper | 1500 Gems (armored chests below via firework) | Has('Fire Breath')
ICPastWaterGate | 400 Gems ([enemy] steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
ICPastWaterGate | 39 Gems ([enemy] yeti/unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
ICPastWaterGate | 475 Gems (baskets/metal chests/headbash chest and rocks/on the ground/dark shard) | True_()
ICPastWaterGate | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
ICPastWaterGate | 40 Gems ([enemy] armored middle gnorc) | Has('Charge')
ICPastWaterGate | 25 Gems (headbash rocks behind chargeable wall) | Has('Charge')
ICElderRoom | 208 Gems (on the ground/baskets/headbash chest/metal chests) | True_()
ICSuperchargeShop | 130 Gems (on the ground) | True_()
ICSuperchargeShop | 300 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
ICSuperchargeShop | 200 Gems (headbash chest and rocks) | Has('Double Jump')
ICSuperchargeShop | 300 Gems (dark shards) | HasAny('Double Jump', 'Charge')
ICSuperchargeShop | 25 Gems ([enemy] ice monster) | HasAny('Fire Breath', 'Electric Breath')
ICSuperchargeShop | 125 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
ICSuperchargeShop | 40 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
ICSuperchargeShop | 50 Gems (firework baskets) | Has('Fire Breath')
ICSuperchargeShop | 100 Gems ([enemy] steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
ICSuperchargeShop | 140 Gems ([enemy] unarmored middle gnorcs/archer gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
ICSuperchargeShop | 800 Gems (Byrd minigames 3-1) | True_()
ICSuperchargeShop | 830 Gems (Byrd minigames 3-2) | True_()
ICUseSupercharge | 1500 Gems (armored chests) | True_()
ICUseSupercharge | 325 Gems (baskets/dark shards/metal chests) | True_()
ICUseSupercharge | 390 Gems (floating in acid tunnel before double jump) | True_()
ICUseSupercharge | 260 Gems (floating in acid tunnel after double jump) | Has('Double Jump')
ICUseSupercharge | 20 Gems ([enemy] unarmored huge gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Ice Breath')
ICRoyal | 87 Gems (on the ground) | True_()
ICRoyal | 175 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
ICRoyal | 200 Gems (dark shards) | HasAny('Double Jump', 'Charge')
ICRoyal | 25 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
ICRoyal | 30 Gems (headbash chest) | Has('Double Jump')
ICRoyal | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
ICRoyal | 32 Gems ([enemy] yeti) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
ICRoyal | 75 Gems ([enemy] steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
ICRoyalBack | 60 Gems ([enemy] archer gnorcs/unarmored middle gnorc) | True_()
ICRoyalBack | 20 Gems ([enemy] armored huge gnorc) | Has('Charge')
ICRoyalCannon | 5000 Gems (armored chests) | True_()
ICRoyalCannon | 50 Gems ([enemy] steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
ICRoyalCannon | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
ICRoyalCannon | 80 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
ICRoyalCannon | 150 Gems (baskets/dark shard) | True_()
ICRoyalToCourtyard | 296 Gems (baskets/on the ground/dark shards/metal chests) | True_()
ICRoyalToCourtyard | 80 Gems ([enemy] armored huge gnorc/armored middle gnorcs) | Has('Charge')
ICRoyalToCourtyard | 20 Gems ([enemy] unarmored middle gnorc) | True_()
SBEntryLower | 100 Gems (underwater vases by realm teleporter) | HasAll('Swim', 'Charge')
SBEntryLower | 263 Gems (on the ground) | True_()
SBEntryLower | 300 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
SBEntryLower | 350 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
SBEntryLower | 30 Gems (headbash chest) | Has('Double Jump')
SBEntryLower | 350 Gems (dark shards) | HasAny('Double Jump', 'Charge')
SBEntryLower | 375 Gems ([enemy] steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
SBEntryLower | 140 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SBEntryLower | 80 Gems ([enemy] armored middle gnorc) | Has('Charge')
SBEntryLower | 60 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
SBEntryLower | 1000 Gems (armored chests via west cove firework) | Has('Fire Breath')
SBShop | 1500 Gems (armored chests via firework on ground) | Has('Fire Breath')
SBEntryUpper | 1414 Gems (on the ground/baskets/dark shards/headbash chests) | True_()
SBEntryUpper | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
SBEntryUpper | 1000 Gems (armored chests via firework in cave) | Has('Fire Breath')
SBEntryUpper | 40 Gems ([enemy] archer gnorcs/unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SBEntryUpper | 20 Gems ([enemy] armored middle gnorc) | Has('Charge')
SBCaveUpper | 40 Gems ([enemy] archer gnorcs) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
SBCaveUpper | 60 Gems (headbash chests behind water gate) | True_()
MMEntryUpper | 500 Gems (armored chests via firework on stump) | Has('Fire Breath')
MMEntryUpper | 50 Gems ([enemy] steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
MMEntryUpper | 1500 Gems (armored chests via supercharge) | SuperchargeGadget()
MMEntryUpper | 572 Gems (baskets/metal chest/on the ground/dark shard) | True_()
MMEntryLower | 161 Gems (on the ground/headbash rock) | True_()
MMEntryLower | 100 Gems ([enemy] phoenixes/fire imps) | HasAny('Water Breath', 'Ice Breath')
MMEntryLower | 25 Gems (firework basket) | Has('Fire Breath')
MMVillage | 610 Gems (on the ground) | True_()
MMVillage | 25 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
MMVillage | 150 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
MMVillage | 100 Gems (dark shards) | HasAny('Double Jump', 'Charge')
MMVillage | 400 Gems ([enemy] rock monsters) | Has('Charge')
MMVillage | 30 Gems (headbash chest) | Has('Double Jump')
MMVillageImps | 225 Gems ([enemy] fire imps) | True_()
MMVillageImps | 443 Gems (Byrd minigames 4-1) | True_()
MMVillageImps | 443 Gems (Byrd minigames 4-2) | True_()
MMPostVillage | 50 Gems ([enemy] fire imps before pole room) | True_()
MMPostVillage | 40 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MMPostVillage | 153 Gems (on the ground) | True_()
MMPostVillage | 20 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
MMPostVillage | 20 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MMPostVillage | 50 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
MMPostVillage | 25 Gems (headbash rocks) | Has('Double Jump')
MMPolesLower | 50 Gems ([enemy] fire imps) | True_()
MMPolesUpper | 25 Gems (headbash rocks under unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
MMPolesUpper | 235 Gems (on the ground/headbash chest and rock/baskets) | True_()
MMBridgeEntry | 75 Gems ([enemy] phoenixes) | True_()
MMBridgeEntry | 55 Gems (headbash rocks) | True_()
MMBridge | 50 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
MMBridge | 50 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
MMBridge | 1500 Gems (armored chests across bridge via cannon) | True_()
MMBridge | 60 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MMBridge | 20 Gems ([enemy] armored middle gnorc) | Has('Charge')
MMBridgePoles | 160 Gems (baskets/headbash rocks) | True_()
MMBridgePoles | 300 Gems ([enemy] phoenixes/fire imps) | HasAny('Water Breath', 'Ice Breath')
MMPostBridge | 75 Gems ([enemy] fire imps) | True_()
MMPostBridge | 40 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MMPostBridge | 30 Gems (headbash rock) | True_()
MMLumberEntry | 20 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MMLumberEntry | 154 Gems (headbash rock/dark shard/metal chests) | True_()
MMLumberEntry | 25 Gems ([enemy] first phoenix in puzzle area) | HasAny('Water Breath', 'Ice Breath')
MMNorth | 75 Gems ([enemy] phoenix/fire imps) | True_()
MMNorth | 750 Gems (on the ground and chests after glide from light gem) | True_()
MMLumber | 20 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MMLumber | 60 Gems ([enemy] armored middle gnorc) | Has('Charge')
MMLumber | 60 Gems (headbash chest and rock) | Has('Double Jump')
MMLumber | 50 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
MMLumber | 25 Gems (metal chest) | HasAny('Double Jump', 'Charge', 'Electric Breath')
MMPostLumber | 658 Gems (baskets/on the ground/dark shards/chests and rocks) | True_()
MMPostLumber | 325 Gems ([enemy] fire imps) | HasAny('Water Breath', 'Ice Breath')
MMPostLumber | 140 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MMPostLumber | 890 Gems (stuff behind chargeable walls) | Has('Charge')
MMNorthEast | 50 Gems ([enemy] fire imp) | True_()
MMNorthEast | 373 Gems (on the ground/baskets/headbash chest) | True_()
MFtEntry | 90 Gems (headbash chests) | Has('Double Jump')
MFtEntry | 25 Gems (metal chest behind chargeable wall) | Has('Charge')
MFtEntry | 20 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MFtEntry | 50 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
MFtEntry | 25 Gems (firework basket) | Has('Fire Breath')
MFtEntry | 25 Gems (firework basket behind chargeable wall) | HasAll('Charge', 'Fire Breath')
MFtEntry | 100 Gems ([enemy] rock monster) | Has('Charge')
MFtCenter | 100 Gems ([enemy] fire imps) | True_()
MFtSouth | 50 Gems (baskets by locked chest above center) | Has('Double Jump')
MFtSouth | 20 Gems ([enemy] armored huge gnorc behind chargeable wall) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MFtSouth | 50 Gems (metal chests behind chargeable wall) | Has('Charge')
MFtWallKickLower | 50 Gems ([enemy] fire imps) | True_()
MFtWallKickLower | 155 Gems (on the ground) | True_()
MFtWallKickLower | 25 Gems (metal chest behind chargeable wall) | Has('Charge')
MFtWallKickUpper | 75 Gems (baskets above wall kick) | True_()
MFtWallKickUpper | 125 Gems ([enemy] fire imps and phoenixes above wall kick) | True_()
MFtWallKickUpper | 500 Gems (armored chest via firework above wall kick) | Has('Fire Breath')
MFtBallGadgetEntry | 40 Gems ([enemy] armored huge gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MFtBallGadgetEntry | 75 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
MFBallGadget | 447 Gems (ball gadget path) | True_()
MFbEntry | 25 Gems (metal chest next to ball gadget) | HasAny('Double Jump', 'Charge', 'Electric Breath')
MFbEntry | 50 Gems ([enemy] fire imps (don't need DJ)) | HasAny('Water Breath', 'Ice Breath')
MFbEntry | 20 Gems ([enemy] armored middle gnorc) | Has('Charge')
MFbEntry | 100 Gems (dark shards) | HasAny('Double Jump', 'Charge')
MFbEntry | 150 Gems (dark shards above wall kick) | And(Has('Wall Kick'), HasAny('Double Jump', 'Charge'))
MFbEntry | 50 Gems (baskets above wall kick) | And(Has('Wall Kick'), HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath'))
MFbEntry | 25 Gems (metal chest above wall kick) | And(Has('Wall Kick'), HasAny('Double Jump', 'Charge', 'Electric Breath'))
MFbSouthEast | 50 Gems ([enemy] phoenixes) | True_()
MFbSouthEast | 100 Gems (dark shards) | True_()
MFbBeforeImpRoom | 75 Gems (baskets) | True_()
MFbBeforeImpRoom | 40 Gems ([enemy] armored middle gnorcs) | Has('Charge')
MFbBeforeImpRoom | 25 Gems (metal chest behind chargeable wall) | Has('Charge')
MFbBeforeImpRoom | 20 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MFbBeforeImpRoom | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MFbImpRoom | 150 Gems ([enemy] fire imps 1-6) | HasAny('Water Breath', 'Ice Breath')
MFbImpRoom | 25 Gems ([enemy] fire imp 7) | And(Has('Double Jump'), HasAny('Water Breath', 'Ice Breath'))
MFbImpRoom | 25 Gems ([enemy] fire imp 8) | And(HasAll('Double Jump', 'Glide'), HasAny('Water Breath', 'Ice Breath'))
MFbSparxShop | 40 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
MFbSparxShop | 201 Gems (on the ground) | True_()
MFbSparxShop | 50 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
MFbSparxShop | 1100 Gems (Sparx minigames 4-1) | True_()
MFbSparxShop | 900 Gems (Sparx minigames 4-2) | True_()
MFbSparxShop | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
MFbSparxShop | 20 Gems ([enemy] armored middle gnorc in thief area) | HasAll('Double Jump', 'Charge')
MFbSparxShop | 291 Gems (on the ground in thief area) | HasAll('Double Jump', 'Charge')
DMEntry | 250 Gems (dark shards) | HasAny('Double Jump', 'Charge')
DMEntry | 275 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
DMEntry | 115 Gems (headbash chest) | Has('Double Jump')
DMEntry | 75 Gems ([enemy] critters) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DMEntry | 60 Gems ([enemy] drill robots) | HasAny('Electric Breath', 'Charge')
DMEntry | 150 Gems ([enemy] spike robots/steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
DMEntry | 100 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
DMEntry | 100 Gems (metal chest and baskets behind chargeable wall) | Has('Charge')
DMLGDoorEntry | 20 Gems ([enemy] huge robo-gnorc) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
DMLGDoorEntry | 25 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
DMLGDoorPastGnorc | 175 Gems (baskets/metal chests) | True_()
DMLGDoorPastGnorc | 215 Gems ([enemy] huge robo-gnorc/steel traps/critters) | True_()
DMLGDoorPastGnorc | 150 Gems (dark shards) | HasAny('Double Jump', 'Charge')
DMLGDoorPastGnorc | 60 Gems (headbash chest) | Has('Double Jump')
DMLGDoorPastGnorc | 350 Gems (underwater toxic metal chests and dark shards) | And(HasAll('Swim', 'Charge'), InvincibilityGadget())
DMAfterRocks | 530 Gems (dark shards/baskets/headbash chest/metal chests) | True_()
DMAfterRocks | 1500 Gems (armored chests via firework) | Has('Fire Breath')
DMAfterRocks | 20 Gems ([enemy] huge robo-gnorc) | HasAny('Electric Breath', 'Ice Breath')
DMAfterRocks | 20 Gems ([enemy] small robo-gnorc) | True_()
DMAfterRocks | 20 Gems ([enemy] small robo-gnorc above wall kick) | Has('Wall Kick')
DMAfterRocks | 50 Gems (dark shard by light gem) | HasAll('Wall Kick', 'Glide')
DMCaged | 75 Gems ([enemy] turret robots) | True_()
DMCaged | 285 Gems (baskets/metal chests/dark shards/headbash chest) | True_()
DMAfterCaged1 | 490 Gems (baskets/dark shards/metal chests/headbash chests) | True_()
DMAfterCaged1 | 5240 Gems (Blink minigames 4-1) | True_()
DMAfterCaged1 | 6980 Gems (Blink minigames 4-2) | True_()
DMAfterCaged1 | 40 Gems ([enemy] armored middle robo-gnorc) | And(Has('Charge'), HasAny('Electric Breath', 'Ice Breath'))
DMAfterCaged1 | 195 Gems ([enemy] steel traps/huge robo-gnorc blocking door) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
DMAfterCaged2 | 50 Gems (baskets) | True_()
DMBeforeIcePoles | 105 Gems (baskets/headbash chest) | True_()
DMBeforeIcePoles | 1500 Gems (armored chests via firework after ice poles) | HasAll('Glide', 'Ice Breath', 'Pole Spin')
DMSeeSaw | 100 Gems (baskets at ledge (50 below 50 above)) | True_()
DMSeeSaw | 60 Gems ([enemy] small robo-gnorc/drill robots) | HasAny('Electric Breath', 'Charge')
DMSeeSaw | 165 Gems ([enemy] roller robot/huge robo-gnorcs/steel traps) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
DMSeeSaw | 20 Gems ([enemy] armored middle robo-gnorc) | And(Has('Charge'), HasAny('Electric Breath', 'Ice Breath'))
DMSeeSaw | 75 Gems ([enemy] critters) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DMSeeSaw | 25 Gems (metal chest via wall kick) | Has('Wall Kick')
DMPostSeeSaw | 95 Gems ([enemy] critters/huge robo-gnorc) | True_()
DMPostSeeSaw | 20 Gems ([enemy] armored middle robo-gnorc) | And(Has('Charge'), HasAny('Electric Breath', 'Ice Breath'))
DMPostSeeSaw | 175 Gems (baskets/dark shards/metal chest) | True_()
DMGreenPoles | 160 Gems ([enemy] drill robot/huge robo-gnorcs/steel traps) | True_()
DMGreenPoles | 16 Gems (on the ground) | True_()
RLEntry | 868 Gems (on the ground/metal chests/baskets/headbash chests) | True_()
RLEntry | 80 Gems ([enemy] small robo-gnorcs/huge robo-gnorcs) | True_()
RLEntry | 80 Gems ([enemy] armored middle robo-gnorc) | Has('Charge')
RLEntry | 55 Gems (headbash chest and metal chest above charge switches) | Has('Charge')
RLCenter | 20 Gems ([enemy] armored middle robo-gnorc in SE entry) | And(Has('Charge'), HasAny('Electric Breath', 'Ice Breath'))
RLCenter | 60 Gems (headbash chests in SE and NW entryways) | Has('Double Jump')
RLCenter | 50 Gems (baskets in NW entry) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
RLCenter | 60 Gems ([enemy] huge robo-gnorc ins NE/SW/and NW entryways) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
RLSouthWest | 40 Gems ([enemy] small robo-gnorcs) | HasAny('Electric Breath', 'Charge')
RLSouthWest | 60 Gems ([enemy] armored middle robo-gnorc) | And(Has('Charge'), HasAny('Electric Breath', 'Ice Breath'))
RLSouthWest | 20 Gems ([enemy] huge robo-gnorc) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
RLNorthEast1 | 60 Gems ([enemy] small robo-gnorcs/huge robo-gnorc) | True_()
RLNorthEast1 | 25 Gems (basket) | True_()
RLNorthEast1 | 20 Gems ([enemy] armored middle robo-gnorc above electric platform) | Has('Charge')
RLNorthEast1 | 75 Gems (baskets above electric platform) | Has('Electric Breath')
RLNorthEast1 | 20 Gems ([enemy] huge robo-gnorc above electric platform) | Has('Electric Breath')
RLNorthEast1 | 60 Gems (headbash chest above electric platform) | HasAll('Electric Breath', 'Double Jump')
RLNorthEast2 | 100 Gems ([enemy] armored middle robo-gnorc) | Has('Charge')
RLNorthEast2 | 40 Gems ([enemy] huge robo-gnorc) | True_()
RLNorthEast2Above | 155 Gems (metal chests/baskets/headbash chest) | True_()
RLNorthEast3 | 40 Gems ([enemy] small robo-gnorcs) | HasAny('Electric Breath', 'Charge')
RLNorthEast4 | 60 Gems ([enemy] small robo-gnorc) | HasAny('Electric Breath', 'Charge')
RLNorthEast4 | 40 Gems ([enemy] huge robo-gnorcs) | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
RLNorthWest1 | 80 Gems ([enemy] small robo-gnorcs/huge robo-gnorcs) | True_()
RLNorthWest1 | 50 Gems (baskets) | True_()
RLNorthWest1 | 30 Gems (headbash chest) | Has('Double Jump')
RLNorthWest1 | 25 Gems ([enemy] small robo-gnorc on piston needing DJ) | Has('Double Jump')
RLNorthWest2 | 40 Gems ([enemy] small robo-gnorcs) | HasAny('Electric Breath', 'Charge')
RLNorthWest2 | 300 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
RLNorthWest2 | 80 Gems ([enemy] armored middle robo-gnorcs) | And(Has('Charge'), HasAny('Electric Breath', 'Ice Breath'))
RLNorthWest2 | 345 Gems (metal chests/headbash chests/and baskets using DJ) | Has('Double Jump')
